longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-121.84,38.02,46,66,22,37,21,0.536,87500,INLAND
-121.94,38.38,25,182,48,71,52,1.0208,78600,INLAND
-117.37,33.98,27,1342,547,844,484,1.1194,95800,INLAND
-119.82,36.76,46,2194,563,924,542,1.4028,68500,INLAND
-121.32,38,21,1795,482,1114,472,2.0091,101500,INLAND
-121.79,38,36,1141,234,562,213,2.5893,108500,INLAND
-121.37,38.61,39,823,146,329,144,3.0833,114100,INLAND
-119.96,38.84,17,2722,512,828,289,3.5714,109700,INLAND
-117.2,34.52,12,4476,761,2255,735,3.925,118500,INLAND
-122.03,38.25,13,3334,541,1923,538,4.0905,134800,INLAND
-121.84,37.99,15,2380,385,1292,388,4.6029,142600,INLAND
-121.34,38.03,12,2707,433,1200,380,4.9861,133500,INLAND
-117.31,34.35,9,2404,390,1074,359,5.0198,151900,INLAND
-122.01,38.37,16,3996,550,1673,539,5.778,175700,INLAND
-118.21,34.64,16,2573,427,1273,426,5.9508,181100,INLAND
-122.02,38.38,16,808,137,371,145,6.0767,216400,INLAND
-121.22,38.78,8,3418,514,1312,409,6.3914,218000,INLAND
-122.03,38.3,5,1569,199,713,209,6.6779,223900,INLAND
-117.68,34.14,4,4791,695,1871,659,6.9532,277000,INLAND
-117.57,33.93,3,1240,151,519,146,7.5408,271900,INLAND
-117.71,34.15,17,17715,2370,7665,2312,7.9068,349100,INLAND
-117.66,34.12,22,2272,278,933,305,8.8204,390500,INLAND
-121.99,37.92,14,1780,224,764,226,9.0243,427700,INLAND
-119.84,36.85,8,3791,487,1424,475,10.5144,345900,INLAND
-121.88,37.64,20,1309,184,514,172,10.9506,475800,INLAND
-121.96,37.85,10,3209,379,1199,392,12.2478,500001,INLAND
-121.97,37.87,4,1029,126,416,122,13.4883,500001,INLAND
-118.06,34.15,37,1980,226,697,226,15.0001,500001,INLAND
